Citation,Country,URL,Site,Number of men,Number of women,Total farmers,GPS_N,GPS_E,GPS find method2,Row,Number,System,Adjusted system
"Abate, D., Belete, S., Wegi, T., Usman, S., Wamatu, J. and Duncan, A.J. 2012. Characterization of the livestock production systems and the potential of feed-based interventions for improving livestock productivity in Sinana district, Bale highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/25078,"Sinana district, Bale highlands - Sambitu", ,,18,7.08333,40.55,From Aberra,98,58,  MRT,  MRT
"Abate, D., Belete, S., Wegi, T., Usman, S., Wamatu, J. and Duncan, A.J. 2012. Characterization of the livestock production systems and the potential of feed-based interventions for improving livestock productivity in Sinana district, Bale highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/25078,"Sinana district, Bale highlands - Selka", ,,18,7.03333,40.21667,From Aberra,99,58,  MRT,  MRT
"Abate, D., Belete, S., Wegi, T., Usman, S., Wamatu, J. and Duncan, A.J. 2012. Characterization of the livestock production systems and the potential of feed-based interventions for improving livestock productivity in Sinana district, Bale highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/25078,"Sinana district, Bale highlands - Walta’i Barisa",,,18,7.15,39.93333,in report,100,58,  MRT,  MRT
"Wamatu, J., Tucho, T.A., Tadesse, E., Abate, D., Debele, G., Semman, U., Kinati, W., Mulema, A.A. and Duncan, A.J. 2015. A gender perspective into the potential to enhance livestock productivity through improved feeding in Dodicha, Adami Tullu District, East Shewa, Ethiopia. Addis Ababa: ICARDA.",Ethiopia,https://cgspace.cgiar.org/handle/10568/72517,"Dodicha, Adami Tullu District - women", ,16,16,10.24,39.44,in report,101,59,  MRT,  MRT
"Wamatu, J., Tucho, T.A., Tadesse, E., Abate, D., Debele, G., Semman, U., Kinati, W., Mulema, A.A. and Duncan, A.J. 2015. A gender perspective into the potential to enhance livestock productivity through improved feeding in Dodicha, Adami Tullu District, East Shewa, Ethiopia. Addis Ababa: ICARDA.",Ethiopia,https://cgspace.cgiar.org/handle/10568/72517,"Dodicha, Adami Tullu District - men",21,,21,10.24,39.44,in report,102,59,  MRT,  MRT
"Wamatu, J., Tucho, T.A., Tadesse, E., Abate, D., Debele, G., Semman, U., Kinati, W., Mulema, A.A. and Duncan, A.J. 2015. A gender perspective into the potential to enhance livestock productivity through improved feeding in Haleku, Adami Tullu District, East Shewa, Ethiopia. Addis Ababa: ICARDA.",Ethiopia,https://cgspace.cgiar.org/handle/10568/72518,"Haleku, Adami Tullu District, East Shewa - men", ,10,10,10.26,39.64,in report,103,60,  MRT,  MRT
"Wamatu, J., Tucho, T.A., Tadesse, E., Abate, D., Debele, G., Semman, U., Kinati, W., Mulema, A.A. and Duncan, A.J. 2015. A gender perspective into the potential to enhance livestock productivity through improved feeding in Haleku, Adami Tullu District, East Shewa, Ethiopia. Addis Ababa: ICARDA.",Ethiopia,https://cgspace.cgiar.org/handle/10568/72518,"Haleku, Adami Tullu District, East Shewa - women",12,,12,10.26,39.64,in report,104,60,  MRT,  MRT
"Mekonnen, A., Mengistu, S., Woldi, S., Abiso, T., Tessema, F., Mulugeta, M. and Wamatu, J. 2014. Characterization of the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Jawe, Lemo Hadiya District, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/51610,"Jawe, Lemo Hadiya District",12,5,17,7.502367,37.802217,From Aberra,105,61,  MRT,  MRT
"Abate, D., Tassew, B., Zeleke, A., Kedu, A. and Wamatu, J. 2014. Characterization of the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Ballo Aminga, Gasera District, Bale Highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute and Ibadan, Nigeria: International Institute of Tropical Agriculture.",Ethiopia,https://cgspace.cgiar.org/handle/10568/51604,"Ballo Aminga, Gasera District, Bale Highlands",13,3,16,7.36667,40.2,From Aberra,106,62,  MRT,  MRT
"Abate, D., Tassew, B., Zeleke, A., Kedu, A. and Wamatu, J. 2014. Characterization of the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Sinja, Goba District, Bale Highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/51603,"Sinja, Goba District, Bale Highlands",13,4,17,7.0408,39.9742,From Aberra,107,63,  MRT,  MRT
