Citation,Country,URL,Site,Number of men,Number of women,Total farmers,GPS_N,GPS_E,GPS find method2,Row,Number,System,Adjusted system
"Wassena, F.J., Mbeho, A., Kimambo, A.E., Maass, B.L. and Lukuyu, B. 2013. Report of a livestock feed assessment in Mvomero District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51750,Manyinga 2,9,6,15,-6.13308,37.62563,From Fred's excel sheet,4,1,  OTH,MRA
"Wassena, F.J., Mbeho, A., Kimambo, A.E., Maass, B.L. and Lukuyu, B. 2013. Report of a livestock feed assessment in Mvomero District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51750,Wami Sokoine 1,10,6,16,-6.53892,37.56852,From Fred's excel sheet,5,1,  MRA,  MRA
"Wassena, F.J., Mbeho, A., Kimambo, A.E., Maass, B.L. and Lukuyu, B. 2013. Report of a livestock feed assessment in Mvomero District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51750,Wami Sokoine 2,17,8,25,-6.53892,37.56852,From Fred's excel sheet,6,1,  MRA,  MRA
"Wassena, F.J., Mbeho, A., Kimambo, A.E., Maass, B.L. and Lukuyu, B. 2013. Report of a livestock feed assessment in Mvomero District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51750,Manyinga 1,8,5,13,-6.13308,37.62563,From Fred's excel sheet,7,1,  OTH,MRA
"Hagos, T., GebreYohans, S., GebreMeskel, K., GebreYohanse, W., Zegey, T., Assfaw, M. and Wamatu, J. 2014. Using FEAST to characterize the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Gebrekidan, Atsbi-Wonberta District, Tigray, Ethiopia. Addis Ababa, Ethiopia: ICARDA.",Ethiopia,https://cgspace.cgiar.org/handle/10568/35608,"Gebrekidan, Atsbi-Wonberta District, Tigray, Ethiopia", ,,20,14.00167,39.72528,in report,8,2,  MRA,  MRA
"Hagos, T., GebreYohans, S., GebreMeskel, K., GebreYohanse, W., Zegey, T., Assfaw, M. and Wamatu, J. 2014. Using FEAST to characterize the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in in Golgolnaele, Atsbi-Wonberta District, Tigray, Ethiopia. Addis Ababa, Ethiopia: ICARDA.",Ethiopia,https://cgspace.cgiar.org/handle/10568/35607,"Golgolnaele, Atsbi-Wonberta District, Tigray, Ethiopia ",12,8,20,13.88075,39.73555,in report,9,3,  MRA,  MRA
"Wondatir, Z. and Damtew, E. 2015. Assessment of livestock production system and feed resources availability in Hawassa Zuria district, Ethiopia: FEAST survey report. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/67272,"Hawassa Zuria district, Ethiopia - group 2", ,,15,7.05066,38.49641,Guessed from district name,10,4,  MRT,  MRT
"Wondatir, Z. and Damtew, E. 2015. Assessment of livestock production system and feed resources availability in Hawassa Zuria district, Ethiopia: FEAST survey report. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/67272,"Hawassa Zuria district, Ethiopia - group 1", ,,15,7.05066,38.49641,Guessed from district name,11,4,  MRT,  MRT
"Wassena, F.J., Mbeho, A., Maass, B.L., Lukuyu, B. and Kimambo, A.E. 2013. Report of a livestock feed assessment in Kilosa District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT",Tanzania,https://cgspace.cgiar.org/handle/10568/51749,"Mbwade 2, Kilosa District, Morogoro Region, the United Republic of Tanzania",8,3,11,-6.76155,37.18525,From Fred's excel sheet,12,5,  MRA,  MRA
"Wassena, F.J., Mbeho, A., Maass, B.L., Lukuyu, B. and Kimambo, A.E. 2013. Report of a livestock feed assessment in Kilosa District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT",Tanzania,https://cgspace.cgiar.org/handle/10568/51749,"Twatwatwa 2, Kilosa District, Morogoro Region, the United Republic of Tanzania",7,4,11,-6.75592,37.3105,From Fred's excel sheet,13,5,  MRA,  MRA
"Wassena, F.J., Mbeho, A., Maass, B.L., Lukuyu, B. and Kimambo, A.E. 2013. Report of a livestock feed assessment in Kilosa District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT",Tanzania,https://cgspace.cgiar.org/handle/10568/51749,"Mbwade 1, Kilosa District, Morogoro Region, the United Republic of Tanzania",7,5,12,-6.76155,37.18525,From Fred's excel sheet,14,5,  MRA,  MRA
"Wassena, F.J., Mbeho, A., Maass, B.L., Lukuyu, B. and Kimambo, A.E. 2013. Report of a livestock feed assessment in Kilosa District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT",Tanzania,https://cgspace.cgiar.org/handle/10568/51749,"Twatwatwa 1, Kilosa District, Morogoro Region, the United Republic of Tanzania",5,7,12,-6.75592,37.3105,From Fred's excel sheet,15,5,  MRA,  MRA
"Mekonnen, A., Mengistu, S., Woldi, S., Abiso, T. and Wamatu, J. 2014. Using FEAST to characterize the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Bekafa, Doyogena District, Southern Ethiopia. Addis Ababa, Ethiopia: ICARDA.",Ethiopia,https://cgspace.cgiar.org/handle/10568/35609,"Bekafa, Doyogena District, Southern Ethiopia",15,4,19,7.4095,37.8227,eyeballed roughly from Google Maps,16,6,  MRT,  MRT
"Mekonnen, A., Mengistu, S., Woldi, S., Abiso, T. and Wamatu, J. 2014. Using FEAST to characterize the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Serera, Doyogena District, Southern Ethiopia. Addis Ababa, Ethiopia: ICARDA.",Ethiopia,https://cgspace.cgiar.org/handle/10568/35612,"Serera, Doyogena District, Southern Ethiopia",20,2,22,7.3004,37.7977,eyeballed roughly from Google Maps,17,7,  MRT,  MRT
"Hagos, T., GebreYohans, S., GebreMeskel, K., GebreYohanse, W., Zegey, T., Assfaw, M. and Wamatu, J. 2014. Using FEAST to characterize the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Habess, Atsbi-Wonberta District, Tigray, Ethiopia. Addis Ababa, Ethiopia: ICARDA.",Ethiopia,https://cgspace.cgiar.org/handle/10568/35613,"Habess, Atsbi-Wonberta District, Tigray, Ethiopia. Addis Ababa, Ethiopia", ,,20,13.81122,39.68834,in report,18,8,  MRA,  MRA
"Babayemi, O.J., Samireddypalle, A., Sosina, A.O., Ayantunde, A.A., Okike, I. and Duncan, A.J. 2014. Characterization of the farming and livestock production systems using the feed assessment tool (FEAST) in selected local government areas of Osun state, Nigeria. Nairobi, Kenya: ILRI.",Nigeria,https://cgspace.cgiar.org/handle/10568/65212,"Ife East, Osun state, Nigeria", ,,15,7.43,5,eyeballed roughly from Google Maps,19,9,  MRH,  MRH
"Babayemi, O.J., Samireddypalle, A., Sosina, A.O., Ayantunde, A.A., Okike, I. and Duncan, A.J. 2014. Characterization of the farming and livestock production systems using the feed assessment tool (FEAST) in selected local government areas of Osun state, Nigeria. Nairobi, Kenya: ILRI.",Nigeria,https://cgspace.cgiar.org/handle/10568/65212,"Iwo, Osun state, Nigeria", ,,15,7.63,4.19,eyeballed roughly from Google Maps,20,9,  MRH,  MRH
"Babayemi, O.J., Samireddypalle, A., Sosina, A.O., Ayantunde, A.A., Okike, I. and Duncan, A.J. 2014. Characterization of the farming and livestock production systems using the feed assessment tool (FEAST) in selected local government areas of Osun state, Nigeria. Nairobi, Kenya: ILRI.",Nigeria,https://cgspace.cgiar.org/handle/10568/65212,"Atukmosa West, Osun state, Nigeria", ,,15,7.54,4.67,eyeballed roughly from Google Maps,21,9,  MRH,  MRH
"Babayemi, O.J., Samireddypalle, A., Sosina, A.O., Ayantunde, A.A., Okike, I. and Duncan, A.J. 2014. Characterization of the farming and livestock production systems using the feed assessment tool (FEAST) in selected local government areas of Osun state, Nigeria. Nairobi, Kenya: ILRI.",Nigeria,https://cgspace.cgiar.org/handle/10568/65212,"Ayedire, Osun state, Nigeria", ,,15,7.57,4.24,eyeballed roughly from Google Maps,22,9,  URB,MRH
"Babayemi, O.J., Samireddypalle, A., Sosina, A.O., Ayantunde, A.A., Okike, I. and Duncan, A.J. 2014. Characterization of the farming and livestock production systems using the feed assessment tool (FEAST) in selected local government areas of Osun state, Nigeria. Nairobi, Kenya: ILRI.",Nigeria,https://cgspace.cgiar.org/handle/10568/65212,"Atukmosa East, Osun state, Nigeria", ,,15,7.47,4.79,eyeballed roughly from Google Maps,23,9,  MRH,  MRH
"Mangesho, W.E., Loina, R., Bwire, J., Maass, B.L., Lukuyu, B. and Wassena, F.J. 2013. Report of a livestock feed assessment in Lushoto District, Tanga region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51747,"Mbuzii-B, Lushoto District, Tanga region, the United Republic of Tanzania",13,6,19,-4.85722,38.34227,From Fred's excel sheet,24,10,  OTH,MRH
"Mangesho, W.E., Loina, R., Bwire, J., Maass, B.L., Lukuyu, B. and Wassena, F.J. 2013. Report of a livestock feed assessment in Lushoto District, Tanga region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51747,"Ubiri-Kiguzu, Lushoto District, Tanga region, the United Republic of Tanzania",16,5,21,-4.82997,38.31958,From Fred's excel sheet,25,10,  OTH,MRH
"Mangesho, W.E., Loina, R., Bwire, J., Maass, B.L., Lukuyu, B. and Wassena, F.J. 2013. Report of a livestock feed assessment in Lushoto District, Tanga region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51747,"Ubiri-Bangui, Lushoto District, Tanga region, the United Republic of Tanzania",12,6,18,-4.82997,38.31958,From Fred's excel sheet,26,10,  OTH,MRH
"Mangesho, W.E., Loina, R., Bwire, J., Maass, B.L., Lukuyu, B. and Wassena, F.J. 2013. Report of a livestock feed assessment in Lushoto District, Tanga region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51747,"Mbuzii-A , Lushoto District, Tanga region, the United Republic of Tanzania",11,9,20,-4.85722,38.34227,From Fred's excel sheet,27,10,  OTH,MRH
"Babayemi, O.J., Samireddypalle, A., Sosina, A.O., Ayantunde, A.A., Okike, I. and Duncan, A.J. 2014. Characterization of the farming and livestock production systems using the feed assessment tool (FEAST) in selected local government areas of Oyo state, Nigeria. Nairobi, Kenya: ILRI.",Nigeria,https://cgspace.cgiar.org/handle/10568/65211,"Iddo, Oyo state, Nigeria", ,,15,7.51,3.72,eyeballed roughly from Google Maps,28,11,  MRH,  MRH
"Babayemi, O.J., Samireddypalle, A., Sosina, A.O., Ayantunde, A.A., Okike, I. and Duncan, A.J. 2014. Characterization of the farming and livestock production systems using the feed assessment tool (FEAST) in selected local government areas of Oyo state, Nigeria. Nairobi, Kenya: ILRI.",Nigeria,https://cgspace.cgiar.org/handle/10568/65211,"Ibarapa East, Oyo state, Nigeria", ,,15,7.61,3.49,eyeballed roughly from Google Maps,29,11,  MRH,  MRH
"Babayemi, O.J., Samireddypalle, A., Sosina, A.O., Ayantunde, A.A., Okike, I. and Duncan, A.J. 2014. Characterization of the farming and livestock production systems using the feed assessment tool (FEAST) in selected local government areas of Oyo state, Nigeria. Nairobi, Kenya: ILRI.",Nigeria,https://cgspace.cgiar.org/handle/10568/65211,"Ori Ire, Oyo state, Nigeria", ,,15,8.37,4.17,eyeballed roughly from Google Maps,30,11,  LGH,  LGH
"Babayemi, O.J., Samireddypalle, A., Sosina, A.O., Ayantunde, A.A., Okike, I. and Duncan, A.J. 2014. Characterization of the farming and livestock production systems using the feed assessment tool (FEAST) in selected local government areas of Oyo state, Nigeria. Nairobi, Kenya: ILRI.",Nigeria,https://cgspace.cgiar.org/handle/10568/65211,"Ogo- Oluwa, Oyo state, Nigeria", ,,15,7.98,4.21,eyeballed roughly from Google Maps,31,11,  LGH,  LGH
"International Livestock Research Institute. 2014. Prioritizing feed technologies with FEAST in four districts of Karnatka State in India: Contribution to the GoK-CGIAR Initiative—Improving rural livelihoods through innovative scaling up of science-led participatory research for development in Karnataka. Nairobi, Kenya: ILRI",India,https://cgspace.cgiar.org/handle/10568/65234,"Tumkur, Karnataka State in India",40,0,40,13.345,77.1089,eyeballed roughly from Google Maps,32,12,  MIA,  MIA
"International Livestock Research Institute. 2014. Prioritizing feed technologies with FEAST in four districts of Karnatka State in India: Contribution to the GoK-CGIAR Initiative—Improving rural livelihoods through innovative scaling up of science-led participatory research for development in Karnataka. Nairobi, Kenya: ILRI",India,https://cgspace.cgiar.org/handle/10568/65234,"Raichur, Karnataka State in India",55,0,55,16.2097,77.357,eyeballed roughly from Google Maps,33,12,  MRA,  MRA
"International Livestock Research Institute. 2014. Prioritizing feed technologies with FEAST in four districts of Karnatka State in India: Contribution to the GoK-CGIAR Initiative—Improving rural livelihoods through innovative scaling up of science-led participatory research for development in Karnataka. Nairobi, Kenya: ILRI",India,https://cgspace.cgiar.org/handle/10568/65234,"Bijapur, Karnataka State in India",46,12,58,16.7902,75.9853,eyeballed roughly from Google Maps,34,12,  MRA,  MRA
"International Livestock Research Institute. 2014. Prioritizing feed technologies with FEAST in four districts of Karnatka State in India: Contribution to the GoK-CGIAR Initiative—Improving rural livelihoods through innovative scaling up of science-led participatory research for development in Karnataka. Nairobi, Kenya: ILRI",India,https://cgspace.cgiar.org/handle/10568/65234,"Chikmagalur, Karnataka State in India",32,0,32,13.3195,75.7737,eyeballed roughly from Google Maps,35,12,  OTH,MRA
"Addisu, A., Solomon, M., Solomon, A., Fantahun, D., Wamatu, J., Thorpe, W. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potential to enhance productivity through improved feeding in Adama and Arsi Negelle Districts, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/24733,"Kechema, Adama District, Ethiopia",15,5,20,8.5849,39.2186,eyeballed roughly from Google Maps,36,13,  MRA,  MRA
"Addisu, A., Solomon, M., Solomon, A., Fantahun, D., Wamatu, J., Thorpe, W. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potential to enhance productivity through improved feeding in Adama and Arsi Negelle Districts, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/24733,"Ali-Weyo, Arsi Negelle, Ethiopia",15,7,22,7.4085,38.6614,eyeballed roughly from Google Maps,38,13,     ,MRT
"Addisu, A., Solomon, M., Solomon, A., Fantahun, D., Wamatu, J., Thorpe, W. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potential to enhance productivity through improved feeding in Adama and Arsi Negelle Districts, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/24733,"Kersa-Ilala, Arsi Negelle, Ethiopia",15,5,20,7.2915,38.675,eyeballed roughly from Google Maps,39,13,  MRT,  MRT
"Mekonnen, A., Tessema, F., Mulugeta, M., Mengistu, S., Wolde, S. and Abiso, T. 2014. Characterization of the farming and livestock production systems and the potentials to enhance productivity through improved feeding in Lemo district, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/56931,"Jawe, Lemo district, Ethiopia.",12,5,17,7.50237,37.80222,From Aberra,40,14,  MRT,  MRT
"Mekonnen, A., Tessema, F., Mulugeta, M., Mengistu, S., Wolde, S. and Abiso, T. 2014. Characterization of the farming and livestock production systems and the potentials to enhance productivity through improved feeding in Lemo district, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/56931,"Upper Gana, Lemo district, Ethiopia.",12,7,19,7.57453,37.76887,From Aberra,41,14,  MRT,  MRT
"Kebede, G., Ayalew, L., Feyissa, F., Kitaw, G., Wamatu, J., Thorpe, W. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potential to enhance productivity through improved feeding in Wolmera and Wuchale Districts, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/24740,"Berfeta Tokofa, Wolmera and Wuchale Districts, Ethiopia",8,5,13,9.02472,38.51203,in report,42,15,  MRT,  MRT
"Kebede, G., Ayalew, L., Feyissa, F., Kitaw, G., Wamatu, J., Thorpe, W. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potential to enhance productivity through improved feeding in Wolmera and Wuchale Districts, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/24740,"Rob Gebeya, Wolmera and Wuchale Districts, Ethiopia",11,2,13,9.158368,36.922071,in report,43,15,  MRT,  MRT
"Kebede, G., Ayalew, L., Feyissa, F., Kitaw, G., Wamatu, J., Thorpe, W. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potential to enhance productivity through improved feeding in Wolmera and Wuchale Districts, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/24740,Mechela Wertu ,11,3,14,9.57083,38.89772,in report,44,15,  MRT,  MRT
"Kebede, G., Ayalew, L., Feyissa, F., Kitaw, G., Wamatu, J., Thorpe, W. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potential to enhance productivity through improved feeding in Wolmera and Wuchale Districts, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/24740,Bosoqa Jate,10,3,13,9.02472,38.51203,in report,45,15,  MRT,  MRT
"York, L. 2010. Characterisation of the livestock production system and potential for enhancing productivity through improved feeding in Amoni Division, Mweiga District, Central Kenya, May 2010. Nairobi, Kenya: ILRI.",Kenya,https://cgspace.cgiar.org/handle/10568/16529,"Amoni Division, Mweiga District, Central Kenya", ,,3,-0.3426,36.9222,eyeballed roughly from Google Maps,46,16,  MRT,  MRT
"Gizaw, S., Aschalew. T., Lemma, W., Beneberu, T., Shenkute, G., Wamatu, J., Thorpe, W. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potentials to enhance productivity through improved feeding in the Subalpine Highlands of Amhara region, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/24732,"Angolela-Tera, Subalpine Highlands of Amhara region, Ethiopia", ,,15,9.32,39.27,in report,47,17,  MRT,  MRT
"Gizaw, S., Aschalew. T., Lemma, W., Beneberu, T., Shenkute, G., Wamatu, J., Thorpe, W. and Duncan, A.J. 2012. Characterization of the farming and livestock production systems and the potentials to enhance productivity through improved feeding in the Subalpine Highlands of Amhara region, Ethiopia. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/24732,"Menz-Gera-Gera, Subalpine Highlands of Amhara region, Ethiopia", ,,15,10.24,39.44,in report,48,17,  MRT,  MRT
"York, L. 2010. Characterisation of the livestock production system and potential for enhancing productivity through improved feeding in Dembi Kurkura Ada’a, Ethiopia, April 2010. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/16526,"Ude, Ada’a, Ethiopia", ,,6,8.66667,39.04167,Guessed from https://onlinelibrary.wiley.com/doi/full/10.1111/gcbb.12459,49,18,  MRT,  MRT
"York, L. 2010. Characterisation of the livestock production system and potential for enhancing productivity through improved feeding in Sebusaray woreda of Baako, Ethiopia, May 2010. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/16524,"Sibu sire woreda of Baako, Ethiopia", ,,3,9.0775,36.8317,eyeballed woreda roughly from Google Maps,50,19,  MRT,  MRT
"Lukuyu, B., Kugonza, J., Wabwire, R. and Baltenweck, I. 2011. Characterisation of the livestock production system and potential for enhancing productivity through improved feeding at Namayumba, Wakiso district of Uganda, March 2011. Nairobi, Kenya: ILRI.",Uganda,https://cgspace.cgiar.org/handle/10568/16527,"Namayumba, Wakiso district of Uganda", ,,10,0.5279,32.2503,eyeballed roughly from Google Maps,51,20,  MRH,  MRH
"York, L. 2010. Characterisation of the livestock production system and potential for enhancing productivity through improved feeding in Ol-Kalaou division, Kieni West district, Kenya, May 2010. Nairobi, Kenya: ILRI.",Kenya,https://cgspace.cgiar.org/handle/10568/16531,"Ol-Kalaou division, Kieni West district, Kenya", ,,3,-0.273,36.3775,eyeballed roughly from Google Maps,52,21,  OTH,MRT
"Kugonza, J., Wabwire, R., Lutakome, P., Lukuyu, B. and Kirui, J. 2012. Characterisation of the livestock production system and potential for enhancing productivity through improved feeding in Kinyogoga Dairy Farmers Association in Nakaseke district, Uganda. Nairobi, Kenya: East Africa Dairy Development Project (EADD).",Uganda,https://cgspace.cgiar.org/handle/10568/17224,"Nakaseke district, Uganda", ,,10,1.1054,32.156,eyeballed district name on google maps,53,24,  MRH,  MRH
"Kugonza, J., Wabwire, R., Lutakome, P., Lukuyu, B. and Kirui, J. 2012. Characterisation of the livestock production system and potential for enhancing productivity through improved feeding in Kiryandongo Dairy Farmers Business Association in Kiryandongo district of Uganda. Nairobi, Kenya: East Africa Dairy Development Project (EADD).",Uganda,https://cgspace.cgiar.org/handle/10568/17217,Kiryandongo district of Uganda, ,,10,1.9828,32.0662,eyeballed district name on google maps,54,25,  OTH,MRH
"Kugonza, J., Wabwire, R., Lutakome, P., Lukuyu, B. and Kirui, J. 2012. Characterisation of the livestock production system and potential for enhancing productivity through improved feeding in Kijunjubwa, Masindi district of Uganda . Nairobi, Kenya: East Africa Dairy Development Project (EADD).",Uganda,https://cgspace.cgiar.org/handle/10568/17221,"Kijunjubwa, Masindi district of Uganda", ,,10,1.6842,31.717,eyeballed district name on google maps,55,26,  MRH,  MRH
"Kugonza, J., Wabwire, R., Lutakome, P., Lukuyu, B. and Kirui, J. 2012. Characterisation of the livestock production system and potential for enhancing productivity through improved feeding at Mitala Maria in Mpigi district of Uganda. Nairobi, Kenya: East Africa Dairy Development Project (EADD).",Uganda,https://cgspace.cgiar.org/handle/10568/17228,Mitala Maria in Mpigi district, ,,10,0.0792,32.1218,eyeballed roughly from Google Maps,56,27,  MRH,  MRH
"York, L. 2010. Characterisation of the livestock production system and potential for enhancing productivity through improved feeding in Rangareddy district, India, September 2010. Nairobi, Kenya: ILRI.",India,https://cgspace.cgiar.org/handle/10568/16530,Rangareddy district, ,,3,17.258,78.3913,eyeballed district capital (Shamshabad) on google maps,57,28,  URB,MRA
